STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,indic_is,Information society indicator,ind_type,Individual type,unit,Unit of measure,geo,Geopolitical entity (reporting),year,Time,value,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:ISOC_SK_DSKL_I$DEFAULTVIEW(1.0),Individuals' level of digital skills (2015-2019),A,Annual,I_DSK_AB,Individuals who have above basic overall digital skills,IND_TOTAL,All individuals,PC_IND,Percentage of individuals,ES,Spain,2015,,30.02,,,,,
dataflow,ESTAT:ISOC_SK_DSKL_I$DEFAULTVIEW(1.0),Individuals' level of digital skills (2015-2019),A,Annual,I_DSK_AB,Individuals who have above basic overall digital skills,IND_TOTAL,All individuals,PC_IND,Percentage of individuals,ES,Spain,2016,,30.72,,,,,
dataflow,ESTAT:ISOC_SK_DSKL_I$DEFAULTVIEW(1.0),Individuals' level of digital skills (2015-2019),A,Annual,I_DSK_AB,Individuals who have above basic overall digital skills,IND_TOTAL,All individuals,PC_IND,Percentage of individuals,ES,Spain,2017,,31.61,,,,,
dataflow,ESTAT:ISOC_SK_DSKL_I$DEFAULTVIEW(1.0),Individuals' level of digital skills (2015-2019),A,Annual,I_DSK_AB,Individuals who have above basic overall digital skills,IND_TOTAL,All individuals,PC_IND,Percentage of individuals,ES,Spain,2019,,36.09,,,,,
dataflow,ESTAT:ISOC_SK_DSKL_I$DEFAULTVIEW(1.0),Individuals' level of digital skills (2015-2019),A,Annual,I_DSK_AB,Individuals who have above basic overall digital skills,IND_TOTAL,All individuals,PC_IND,Percentage of individuals,EU15,European Union - 15 countries (1995-2004),2015,,31.15,,,,,
dataflow,ESTAT:ISOC_SK_DSKL_I$DEFAULTVIEW(1.0),Individuals' level of digital skills (2015-2019),A,Annual,I_DSK_AB,Individuals who have above basic overall digital skills,IND_TOTAL,All individuals,PC_IND,Percentage of individuals,EU15,European Union - 15 countries (1995-2004),2016,,32.06,,,,,
dataflow,ESTAT:ISOC_SK_DSKL_I$DEFAULTVIEW(1.0),Individuals' level of digital skills (2015-2019),A,Annual,I_DSK_AB,Individuals who have above basic overall digital skills,IND_TOTAL,All individuals,PC_IND,Percentage of individuals,EU15,European Union - 15 countries (1995-2004),2017,,34.04,,,,,
dataflow,ESTAT:ISOC_SK_DSKL_I$DEFAULTVIEW(1.0),Individuals' level of digital skills (2015-2019),A,Annual,I_DSK_AB,Individuals who have above basic overall digital skills,IND_TOTAL,All individuals,PC_IND,Percentage of individuals,EU27_2007,European Union - 27 countries (2007-2013),2015,,28.22,,,,,
dataflow,ESTAT:ISOC_SK_DSKL_I$DEFAULTVIEW(1.0),Individuals' level of digital skills (2015-2019),A,Annual,I_DSK_AB,Individuals who have above basic overall digital skills,IND_TOTAL,All individuals,PC_IND,Percentage of individuals,EU27_2007,European Union - 27 countries (2007-2013),2016,,29.27,,,,,
dataflow,ESTAT:ISOC_SK_DSKL_I$DEFAULTVIEW(1.0),Individuals' level of digital skills (2015-2019),A,Annual,I_DSK_AB,Individuals who have above basic overall digital skills,IND_TOTAL,All individuals,PC_IND,Percentage of individuals,EU27_2007,European Union - 27 countries (2007-2013),2017,,31.27,,,,,
